,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Armenokhorion,GR,2020-01-05 21:00:00,40.8026,21.4609,33.8,75,100,10.47,overcast clouds,0.0,0.0
1,Sandwick,GB,2020-01-05 21:00:00,54.5691,-2.8936,46.85,97,100,12.06,overcast clouds,0.0,0.0
2,Fereydun Kenar,IR,2020-01-05 21:00:00,36.6864,52.5225,45.84,92,58,3.49,broken clouds,0.0,0.0
3,Guerrero,AR,2020-01-05 21:00:00,-24.1859,-65.4469,80.56,86,78,1.63,light rain,1.56,0.0
4,Acapulco,MX,2020-01-05 21:00:00,16.8603,-99.8769,83.88,63,80,7.18,broken clouds,0.0,0.0
5,Meulaboh,ID,2020-01-05 21:00:00,4.1363,96.1285,80.4,81,0,6.78,clear sky,0.0,0.0
6,Homer,US,2020-01-05 21:00:00,59.6441,-151.5402,14.16,73,82,6.44,light snow,0.0,0.06
7,Yara,CU,2020-01-05 21:00:00,20.274,-76.9533,85.3,53,87,5.46,overcast clouds,0.0,0.0
8,Ribeira Brava,PT,2020-01-05 21:00:00,32.65,-17.0667,64.49,70,0,8.55,clear sky,0.0,0.0
9,Rio Negrinho,BR,2020-01-05 21:00:00,-26.2591,-49.5178,68.52,92,4,5.75,light rain,2.81,0.0
10,Colon,PH,2020-01-05 21:00:00,10.2172,123.7548,78.85,82,98,14.56,overcast clouds,0.0,0.0
11,Christchurch,NZ,2020-01-05 21:00:00,-43.531,172.6366,77.68,32,0,15.68,clear sky,0.0,0.0
12,Gerga,RU,2020-01-05 21:00:00,42.3465,47.9633,44.44,81,9,3.74,clear sky,0.0,0.0
13,Bozoum,CF,2020-01-05 21:00:00,6.3147,16.3806,69.01,31,0,3.83,clear sky,0.0,0.0
14,Saposoa,PE,2020-01-05 21:00:00,-6.9319,-76.7725,83.43,59,100,3.42,overcast clouds,0.0,0.0
15,Sokolka,RU,2020-01-05 21:00:00,52.4649,43.8896,24.46,94,100,3.02,overcast clouds,0.0,0.0
16,Elko,US,2020-01-05 21:00:00,40.8324,-115.7632,34.0,83,0,6.69,clear sky,0.0,0.0
17,Samarai,PG,2020-01-05 21:00:00,-10.6167,150.6667,79.39,85,100,2.68,overcast clouds,0.0,0.0
18,Abnub,EG,2020-01-05 21:00:00,27.2692,31.1517,42.94,67,0,4.45,clear sky,0.0,0.0
19,Port Arthur,US,2020-01-05 21:00:00,29.8988,-93.9288,71.62,44,0,8.77,clear sky,0.0,0.0
20,Kalmunai,LK,2020-01-05 21:00:00,7.4167,81.8167,81.12,77,12,13.13,light rain,0.13,0.0
21,Ust-Kan,RU,2020-01-05 21:00:00,50.932,84.7652,3.52,75,0,3.87,clear sky,0.0,0.0
22,Troitskoye,RU,2020-01-05 21:00:00,52.9814,84.6776,12.52,89,30,5.5,scattered clouds,0.0,0.0
23,Asyut,EG,2020-01-05 21:00:00,27.1802,31.1877,46.17,51,0,8.01,clear sky,0.0,0.0
24,Presidencia Roque Saenz Pena,AR,2020-01-05 21:00:00,-26.7853,-60.4388,100.11,14,0,6.64,clear sky,0.0,0.0
25,Ayagoz,KZ,2020-01-05 21:00:00,47.9649,80.4301,7.12,79,0,7.25,clear sky,0.0,0.0
26,Krasnyy Profintern,RU,2020-01-05 21:00:00,57.7446,40.435,31.03,96,50,8.25,scattered clouds,0.0,0.0
27,Semnan,IR,2020-01-05 21:00:00,35.5836,53.3879,38.37,54,6,4.61,clear sky,0.0,0.0
28,Sabzevar,IR,2020-01-05 21:00:00,36.2134,57.6809,35.69,79,67,1.21,broken clouds,0.0,0.0
29,Noyabrsk,RU,2020-01-05 21:00:00,63.2003,75.4476,23.79,95,100,14.54,light snow,0.0,0.63
30,Narbonne,FR,2020-01-05 21:00:00,43.1828,3.0043,45.41,54,0,4.0,clear sky,0.0,0.0
31,Tocopilla,CL,2020-01-05 21:00:00,-22.092,-70.198,66.52,45,0,12.19,clear sky,0.0,0.0
32,Songea,TZ,2020-01-05 21:00:00,-10.6788,35.6484,72.52,90,100,0.98,light rain,1.25,0.0
33,Yerbogachen,RU,2020-01-05 21:00:00,61.2767,108.0108,5.65,92,100,10.6,overcast clouds,0.0,0.0
34,Wanning,AT,2020-01-05 21:00:00,48.6402,13.529,29.39,89,0,1.45,clear sky,0.0,0.0
35,Tucurui,BR,2020-01-05 21:00:00,-3.7662,-49.6726,79.12,89,100,4.63,moderate rain,5.63,0.0
36,Davila,PH,2020-01-05 21:00:00,18.4726,120.5763,76.57,73,68,16.44,broken clouds,0.0,0.0
37,Jihlava,CZ,2020-01-05 21:00:00,49.3961,15.5903,26.44,92,1,4.27,clear sky,0.0,0.0
38,Tombouctou,ML,2020-01-05 21:00:00,16.7719,-3.0088,64.22,17,53,9.98,broken clouds,0.0,0.0
39,Elur,IN,2020-01-05 21:00:00,10.0703,76.3038,77.05,96,61,2.08,broken clouds,0.0,0.0
40,Berdigestyakh,RU,2020-01-05 21:00:00,62.0983,126.6998,-1.73,98,100,3.49,light snow,0.0,0.13
41,Paita,PE,2020-01-05 21:00:00,-5.0851,-81.1138,86.34,46,0,15.39,clear sky,0.0,0.0
42,Conceicao Do Araguaia,BR,2020-01-05 21:00:00,-8.2578,-49.2648,79.75,89,100,2.84,moderate rain,4.06,0.0
43,Kautokeino,NO,2020-01-05 21:00:00,69.0125,23.0412,13.19,92,100,17.67,light snow,0.0,0.19
44,Guaruja,BR,2020-01-05 21:00:00,-23.9931,-46.2564,74.7,85,68,2.62,light rain,0.31,0.0
45,Ngunguru,NZ,2020-01-05 21:00:00,-35.6167,174.5,63.95,82,95,16.31,light rain,0.19,0.0
46,Oussouye,SN,2020-01-05 21:00:00,12.489,-16.5433,70.23,23,0,6.13,clear sky,0.0,0.0
47,Port Shepstone,ZA,2020-01-05 21:00:00,-30.7414,30.455,72.5,96,98,9.24,light rain,0.44,0.0
48,Pathalgaon,IN,2020-01-05 21:00:00,22.5566,83.4586,53.22,55,0,5.37,clear sky,0.0,0.0
49,Bridgetown,AU,2020-01-05 21:00:00,-33.9576,116.1375,51.89,88,0,1.99,clear sky,0.0,0.0
50,Narsaq,GL,2020-01-05 21:00:00,60.9127,-46.0453,13.66,68,33,8.3,scattered clouds,0.0,0.0
51,Bongandanga,CD,2020-01-05 21:00:00,1.5076,21.0715,74.1,55,53,2.57,broken clouds,0.0,0.0
52,Sabya,SA,2020-01-05 21:00:00,17.15,42.6167,81.99,72,0,13.02,clear sky,0.0,0.0
53,Arawa,ID,2020-01-05 21:00:00,-3.9338,119.7478,75.74,93,100,3.13,light rain,0.38,0.0
54,Todorovo,BA,2020-01-05 21:00:00,45.0836,15.9291,28.18,75,0,2.59,clear sky,0.0,0.0
55,Panjab,AF,2020-01-05 21:00:00,34.3838,67.0178,13.64,95,100,2.89,light snow,0.0,1.19
56,Capiata,PY,2020-01-05 21:00:00,-25.35,-57.4167,95.0,30,23,5.59,few clouds,0.0,0.0
57,Bilma,NE,2020-01-05 21:00:00,18.6929,12.9187,54.57,29,93,5.93,overcast clouds,0.0,0.0
58,Nanning,CN,2020-01-05 21:00:00,22.8326,108.3027,65.71,94,76,9.01,broken clouds,0.0,0.0
59,Abu Zabad,SD,2020-01-05 21:00:00,12.35,29.25,60.49,16,0,13.2,clear sky,0.0,0.0
60,Arroyo,BO,2020-01-05 21:00:00,-11.0827,-66.0756,83.01,95,100,3.58,moderate rain,6.25,0.0
61,Trebinje,HR,2020-01-05 21:00:00,42.7108,18.3469,38.82,46,0,16.64,clear sky,0.0,0.0
62,Aksu,KZ,2020-01-05 21:00:00,52.0354,76.9341,14.94,89,64,4.27,broken clouds,0.0,0.0
63,Waingapu,ID,2020-01-05 21:00:00,-9.6522,120.2637,84.0,76,90,25.01,light rain,0.13,0.0
64,Kampene,CD,2020-01-05 21:00:00,-3.5943,26.6683,68.65,98,100,0.85,moderate rain,3.88,0.0
65,Dryden,CA,2020-01-05 21:00:00,49.7857,-92.8359,20.25,88,100,16.71,light snow,0.0,0.44
66,Masuguru,MZ,2020-01-05 21:00:00,-11.3808,38.4577,77.5,78,100,2.62,overcast clouds,0.0,0.0
67,Nhulunbuy,AU,2020-01-05 21:00:00,-12.1805,136.776,85.44,71,100,13.27,overcast clouds,0.0,0.0
68,Samdari,IN,2020-01-05 21:00:00,25.8135,72.5791,64.0,36,21,6.6,few clouds,0.0,0.0
69,Golden,US,2020-01-05 21:00:00,39.7555,-105.2211,43.54,41,74,6.93,broken clouds,0.0,0.0
70,Muisne,EC,2020-01-05 21:00:00,0.6104,-80.0186,79.2,77,56,7.7,broken clouds,0.0,0.0
71,Kieta,PG,2020-01-05 21:00:00,-6.2167,155.6333,82.26,72,5,3.89,clear sky,0.0,0.0
72,Panambi,BR,2020-01-05 21:00:00,-28.2899,-53.5019,88.61,52,86,5.86,overcast clouds,0.0,0.0
73,Storm Lake,US,2020-01-05 21:00:00,42.6411,-95.2098,37.42,66,0,18.48,clear sky,0.0,0.0
74,Sur,OM,2020-01-05 21:00:00,22.5702,59.5299,69.24,74,33,13.53,scattered clouds,0.0,0.0
75,Muleba,TZ,2020-01-05 21:00:00,-1.8398,31.6581,69.49,88,78,2.48,broken clouds,0.0,0.0
76,Ahuimanu,US,2020-01-05 21:00:00,21.4447,-157.8378,78.91,73,39,15.48,light rain,0.19,0.0
77,San Jose,HN,2020-01-05 21:00:00,14.2466,-87.9604,68.02,66,35,10.09,scattered clouds,0.0,0.0
78,Vaitape,PF,2020-01-05 21:00:00,-16.5167,-151.75,81.57,75,37,9.42,scattered clouds,0.0,0.0
79,Praia,BR,2020-01-05 21:00:00,-20.2488,-43.8055,72.52,92,72,4.29,light rain,1.25,0.0
80,Gravdal,NO,2020-01-05 21:00:00,59.7913,5.7785,44.89,94,100,6.93,light rain,2.13,0.0
81,Naze,NG,2020-01-05 21:00:00,5.4333,7.0667,76.42,66,82,4.21,broken clouds,0.0,0.0
82,Auki,NG,2020-01-05 21:00:00,12.1824,6.5056,68.32,27,64,12.48,broken clouds,0.0,0.0
83,Vestmanna,FO,2020-01-05 21:00:00,62.1564,-7.1664,44.08,95,100,10.13,overcast clouds,0.0,0.0
84,Virginia Beach,US,2020-01-05 21:00:00,36.853,-75.9775,50.31,55,0,16.46,clear sky,0.0,0.0
85,Ilinskoye-Khovanskoye,RU,2020-01-05 21:00:00,56.9718,39.7684,30.04,94,88,6.06,overcast clouds,0.0,0.0
86,Poyarkovo,RU,2020-01-05 21:00:00,49.6212,128.651,-6.61,100,98,0.63,overcast clouds,0.0,0.0
87,Krasnovishersk,RU,2020-01-05 21:00:00,60.4018,57.0767,20.23,97,98,4.45,light snow,0.0,0.31
88,Ruteng,ID,2020-01-05 21:00:00,-8.6111,120.4646,68.59,95,100,2.26,overcast clouds,0.0,0.0
89,Surskoye,RU,2020-01-05 21:00:00,54.4772,46.7088,20.37,94,82,2.75,broken clouds,0.0,0.0
90,Jeremie,HT,2020-01-05 21:00:00,18.65,-74.1167,74.44,73,53,5.77,broken clouds,0.0,0.0
91,Mirnyy,RU,2020-01-05 21:00:00,56.5712,36.4603,28.69,93,96,6.38,light snow,0.0,0.13
92,Marshalltown,US,2020-01-05 21:00:00,42.0448,-92.9104,39.52,65,6,17.87,clear sky,0.0,0.0
