City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dorokhovo,RU,2020-01-03 05:13:14,55.55,36.37,33.8,94,90,13.42
1,Awjilah,LY,2020-01-03 05:09:39,29.14,21.3,44.38,85,0,6.49
2,Busselton,AU,2020-01-03 05:13:15,-33.64,115.35,73.0,22,37,17.87
3,Ribeira Grande,PT,2020-01-03 05:12:23,38.52,-28.7,55.11,76,0,12.06
4,Snezhnogorsk,RU,2020-01-03 05:13:15,69.19,33.23,35.6,93,75,4.47
5,Ushuaia,AR,2020-01-03 05:08:17,-54.81,-68.31,48.2,49,4,17.22
6,Saint George,GR,2020-01-03 05:12:24,39.45,22.34,35.01,85,20,3.36
7,Genhe,CN,2020-01-03 05:13:15,50.78,121.52,-4.2,88,77,3.36
8,Byron Bay,AU,2020-01-03 05:13:16,-28.65,153.62,87.8,45,0,17.22
9,Vila Velha,BR,2020-01-03 05:12:52,-3.71,-38.6,86.0,83,40,3.36
10,Albany,US,2020-01-03 05:13:16,42.65,-73.75,42.8,48,90,10.29
11,Rikitea,PF,2020-01-03 05:13:16,-23.12,-134.97,79.23,79,100,4.09
12,Hermanus,ZA,2020-01-03 05:13:16,-34.42,19.24,64.99,95,2,9.44
13,Kota Belud,MY,2020-01-03 05:13:16,6.35,116.43,88.0,70,75,3.36
14,Kavieng,PG,2020-01-03 05:13:17,-2.57,150.8,85.37,66,2,2.82
15,Presidencia Roque Saenz Pena,AR,2020-01-03 05:12:02,-26.79,-60.44,70.57,64,0,6.6
16,Bethel,US,2020-01-03 05:12:42,60.79,-161.76,-13.0,75,1,13.87
17,Esperance,AU,2020-01-03 05:13:17,-33.86,121.89,66.2,48,40,23.04
18,Hualmay,PE,2020-01-03 05:11:21,-11.1,-77.61,66.65,85,77,3.2
19,Bafq,IR,2020-01-03 05:13:17,31.6,55.4,50.9,42,7,3.44
20,Isangel,VU,2020-01-03 05:09:32,-19.55,169.27,80.6,74,75,14.99
21,Oranjemund,ZA,2020-01-03 05:13:18,-28.55,16.43,63.57,78,60,11.83
22,Sao Filipe,CV,2020-01-03 05:13:18,14.9,-24.5,70.11,75,100,14.32
23,Kapaa,US,2020-01-03 05:12:28,22.08,-159.32,75.2,88,90,18.34
24,Yar-Sale,RU,2020-01-03 05:13:18,66.83,70.83,-6.32,96,0,10.6
25,New Norfolk,AU,2020-01-03 05:08:34,-42.78,147.06,78.01,56,75,11.41
26,Port Moresby,PG,2020-01-03 05:11:02,-9.47,147.16,87.8,70,75,11.41
27,Hirara,JP,2020-01-03 05:13:19,24.8,125.28,73.4,56,40,10.29
28,Jamestown,AU,2020-01-03 05:12:26,-33.21,138.6,101.86,5,2,13.31
29,Kidal,ML,2020-01-03 05:13:19,18.44,1.41,48.85,35,0,18.84
30,Pervomayskoye,RU,2020-01-03 05:13:19,57.07,86.23,24.33,89,100,16.33
31,Cayenne,GF,2020-01-03 05:13:19,4.94,-52.33,73.4,94,62,5.01
32,Upernavik,GL,2020-01-03 05:11:51,72.79,-56.15,1.04,83,100,8.32
33,Tiksi,RU,2020-01-03 05:08:28,71.64,128.87,-21.1,68,5,5.14
34,Balsta,SE,2020-01-03 05:13:20,59.57,17.53,44.6,75,90,25.28
35,Qaanaaq,GL,2020-01-03 05:12:30,77.48,-69.36,-37.66,66,3,2.51
36,Viet Tri,VN,2020-01-03 05:13:20,21.3,105.43,77.0,65,75,5.82
37,Egvekinot,RU,2020-01-03 05:12:47,66.32,-179.17,-12.15,67,0,10.45
38,Hobart,AU,2020-01-03 05:12:27,-42.88,147.33,78.01,56,75,11.41
39,Grand Gaube,MU,2020-01-03 05:13:21,-20.01,57.66,78.8,94,75,9.17
40,Hilo,US,2020-01-03 05:11:56,19.71,-155.08,75.2,73,75,4.7
41,Erzin,TR,2020-01-03 05:13:21,36.95,36.2,48.0,100,75,10.29
42,Alofi,NU,2020-01-03 05:13:21,-19.06,-169.92,80.6,65,12,9.17
43,Bluff,AU,2020-01-03 05:12:20,-23.58,149.07,95.81,22,11,20.04
44,Severo-Kurilsk,RU,2020-01-03 05:13:08,50.68,156.12,16.52,82,61,5.77
45,Atuona,PF,2020-01-03 05:12:19,-9.8,-139.03,80.83,78,3,15.82
46,Punta Arenas,CL,2020-01-03 05:11:26,-53.16,-70.91,50.0,46,83,9.17
47,Tchollire,CM,2020-01-03 05:13:22,8.4,14.17,58.42,31,87,2.39
48,Thompson,CA,2020-01-03 05:12:26,55.74,-97.86,8.6,84,90,3.09
49,Denizli,TR,2020-01-03 05:13:22,37.77,29.09,33.8,69,40,18.34
50,Tecoanapa,MX,2020-01-03 05:13:22,16.99,-99.26,80.6,74,40,2.26
51,Nizhniy Odes,RU,2020-01-03 05:13:11,63.64,54.86,16.21,94,100,12.88
52,Arraial Do Cabo,BR,2020-01-03 05:08:21,-22.97,-42.02,76.14,83,100,3.2
53,Gat,SN,2020-01-03 05:12:16,14.69,-16.54,73.4,31,100,11.41
54,Raudeberg,NO,2020-01-03 05:12:49,61.99,5.14,41.0,65,20,28.86
55,Tynda,RU,2020-01-03 05:13:23,55.15,124.74,-5.71,93,88,1.7
56,Khandbari,NP,2020-01-03 05:13:24,27.38,87.21,42.94,46,91,4.18
57,Barrow,AR,2020-01-03 05:12:20,-38.31,-60.23,60.96,73,61,9.66
58,Lufilufi,WS,2020-01-03 05:13:24,-13.87,-171.6,80.01,94,95,5.99
59,Angoche,MZ,2020-01-03 05:13:24,-16.23,39.91,80.1,84,100,10.13
60,Hasaki,JP,2020-01-03 05:12:35,35.73,140.83,57.99,50,20,4.7
61,Majene,ID,2020-01-03 05:13:24,-3.54,118.97,86.67,63,85,9.17
62,Udachnyy,RU,2020-01-03 05:13:25,66.42,112.4,-11.2,76,75,4.47
63,Katima Mulilo,NA,2020-01-03 05:13:25,-17.5,24.28,74.25,81,100,4.5
64,Faya,SA,2020-01-03 05:12:27,18.39,42.45,59.0,47,0,4.9
65,Tasiilaq,GL,2020-01-03 05:12:32,65.61,-37.64,15.8,40,0,18.34
66,Plettenberg Bay,ZA,2020-01-03 05:13:26,-34.05,23.37,70.11,81,36,2.06
67,Coquimbo,CL,2020-01-03 05:13:26,-29.95,-71.34,57.2,87,0,2.24
68,Pevek,RU,2020-01-03 05:12:45,69.7,170.27,-0.85,64,0,11.36
69,Saryozek,KZ,2020-01-03 05:13:26,44.36,77.98,29.25,70,100,2.08
70,Katherine,AU,2020-01-03 05:13:26,-14.47,132.26,98.6,35,75,5.82
71,Huarmey,PE,2020-01-03 05:13:26,-10.07,-78.15,68.09,81,81,2.68
72,Chokurdakh,RU,2020-01-03 05:12:21,70.62,147.9,-21.59,93,24,1.59
73,Port Elizabeth,US,2020-01-03 05:12:19,39.31,-74.98,53.01,61,40,3.36
74,Mataura,NZ,2020-01-03 05:09:21,-46.19,168.86,52.0,88,92,11.99
75,Baglung,NP,2020-01-03 05:13:27,28.27,83.59,32.83,91,100,3.29
76,Hithadhoo,MV,2020-01-03 05:12:53,-0.6,73.08,83.68,69,53,7.9
77,Vaini,IN,2020-01-03 05:12:22,15.34,74.49,69.8,73,0,6.93
78,Butaritari,KI,2020-01-03 05:12:24,3.07,172.79,80.37,85,100,11.63
79,Cape Town,ZA,2020-01-03 05:12:22,-33.93,18.42,70.0,88,20,13.87
80,Chuy,UY,2020-01-03 05:12:28,-33.69,-53.46,65.57,86,2,7.38
81,Provideniya,RU,2020-01-03 05:08:53,64.42,-173.23,-11.47,72,0,11.21
82,Avarua,CK,2020-01-03 05:09:08,-21.21,-159.78,78.8,74,86,3.36
83,Nyimba,ZM,2020-01-03 05:13:28,-14.56,30.81,71.65,92,100,0.76
84,Cherskiy,RU,2020-01-03 05:12:59,68.75,161.3,0.12,69,46,12.17
85,Dikson,RU,2020-01-03 05:12:51,73.51,80.55,3.42,91,97,21.3
86,Asyut,EG,2020-01-03 05:13:28,27.18,31.19,42.8,70,0,9.17
87,Great Yarmouth,GB,2020-01-03 05:13:28,52.61,1.73,50.0,93,100,6.93
88,Hun,BE,2020-01-03 05:13:29,50.34,4.87,48.2,87,75,16.11
89,Cody,US,2020-01-03 05:13:29,44.53,-109.06,32.0,58,1,9.89
90,Cabo San Lucas,MX,2020-01-03 05:08:59,22.89,-109.91,66.0,77,5,11.41
91,Ust-Kishert,RU,2020-01-03 05:13:29,57.36,57.24,3.36,95,87,16.13
92,Sitka,US,2020-01-03 05:08:22,37.17,-99.65,33.01,87,93,9.17
93,Ginda,IN,2020-01-03 05:13:29,30.69,78.49,53.42,42,60,3.09
94,Namatanai,PG,2020-01-03 05:13:30,-3.66,152.44,85.28,69,64,5.23
95,Visnes,NO,2020-01-03 05:13:30,59.36,5.22,44.6,75,99,23.04
96,Berlevag,NO,2020-01-03 05:09:45,70.86,29.09,33.8,80,99,20.8
97,Opuwo,NA,2020-01-03 05:13:30,-18.06,13.84,70.88,73,100,11.63
98,Ust-Nera,RU,2020-01-03 05:11:37,64.57,143.24,-6.38,98,100,5.86
